WHERE THE CRAWDADS SING,Delia Owens,Putnam,153,384,Literary,4.5,38571,12.99,12.40,"216,300",4.8
"RUN, ROSE, RUN",Dolly Parton and James Patterson,"Little, Brown",3,400,Mysteries & Thrillers,4,1198,15.99,18.00,"11,479",4.5
THE RECOVERY AGENT,Janet Evanovich,Atria,1,320,Mysteries & Thrillers,4,470,14.99,17.95,"3,265",4.3
VERITY,Colleen Hoover,Grand Central,16,336,Mysteries & Thrillers,4.5,8745,11.99,16.44,"79,742",4.6
A SAFE HOUSE,Stuart Woods,Putnam,1,304,Action & Adventure,3.5,446,14.99,18.76,"2,285",4.0
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,39,400,Fiction & Literature,4.5,7523,14.99,9.42,"67,312",4.6
A SUNLIT WEAPON,Jacqueline Winspear,Harper,1,368,Women Sleuths,4.5,135,14.99,18.65,"2,116",4.6
FRENCH BRAID,Anne Tyler,Knopf,1,256,Family,4,118,13.99,18.03,"2,745",4.2
THE MATCH,Harlan Coben,Grand Central,2,400,Mysteries & Thrillers,4,984,14.99,18.37,"7,014",4.5
THE PARIS APARTMENT,Lucy Foley,Morrow,5,368,Mysteries & Thrillers,4,1090,14.99,18.16,"8,246",4.1
UGLY LOVE,Colleen Hoover,Atria,11,336,New Adult,4.5,8403,11.99,11.99,"37,645",4.7
NOVEMBER 9,Colleen Hoover,Atria,4,320,New Adult,4.5,3929,11.99,11.99,"19,196",4.7
SHADOWS REEL,C.J. Box,Putnam,3,368,Mysteries & Thrillers,4,1136,14.99,17.58,"8,453",4.4
THE LOVE HYPOTHESIS,Ali Hazelwood,Berkley,19,400,Romantic Comedy,4.5,3672,8.99,11.09,"27,950",4.6
HOUSE OF SKY AND BREATH,Sarah J. Maas,Bloomsbury,2,768,Fantasy,4.5,1358,14.99,17.74,"17,809",4.8
NOTHING TO LOSE,J.A. Jance,Morrow,1,368,Mysteries & Thrillers,4.5,282,14.99,18.42,"2,516",4.7
THE LINCOLN HIGHWAY,Amor Towles,Viking,21,592,Historical,4,3805,14.99,18.00,"42,778",4.4
THE MAID,Nita Prose,Ballantine,8,304,Cozy,4,2283,12.99,17.26,"22,449",4.3
